#,Player,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb
22,Abhishek Paradkar,East Bay Blazers,8,8,25,150,11, 14/ 5,0,61,6.00,13.64,13.6,0,0,1,3,0
23,Muhammad Zaid Alam,Baltimore Royals,8,8,28.5,174,11, 12/ 4,0,92,6.03,15.82,15.7,0,1,0,7,3
24,Sachin Mylavarapu,New Jersey Stallions,10,10,34,215,11, 21/ 3,0,100,6.32,19.55,18.5,0,0,0,5,0
25,Phani Simhadri,Atlanta Lightning,8,8,30,193,11, 17/ 3,0,87,6.43,17.55,16.4,0,0,0,23,1
26,Abdul Jabbar Mohammed,The Philadelphians,8,7,26,169,11, 9/ 3,1,87,6.50,15.36,14.2,0,0,0,11,1
27,Cinci Siegertsz,Seattle Thunderbolts,9,9,25.4,189,11, 19/ 3,0,73,7.36,17.18,14,0,0,0,10,0
28,Shivam Sharma,Seattle Thunderbolts,10,10,31,232,11, 14/ 2,1,72,7.48,21.09,16.9,0,0,0,5,0
29,Ehsan Adil,Chicago Kingsmen,10,10,31.2,255,11, 23/ 3,2,91,8.14,23.18,17.1,0,0,0,24,0
30,Asif Mehmood,Chicago Kingsmen,6,6,17.5,113,10, 13/ 3,1,69,6.34,11.30,10.7,0,0,0,12,0
31,Arya Garg,Manhattan Yorkers,6,6,21,147,10, 27/ 3,0,67,7.00,14.70,12.6,0,0,0,9,1
32,Junaid Siddiqui,Atlanta Lightning,7,7,23,167,10, 23/ 2,1,57,7.26,16.70,13.8,0,0,0,4,0
33,Faisal Khan Ahmadzai,Silicon Valley Strikers,8,8,29,215,10, 10/ 3,0,85,7.41,21.50,17.4,0,0,0,16,2
34,Anwar Ali Khan,Chicago Kingsmen,11,11,37,276,10, 22/ 3,0,87,7.46,27.60,22.2,0,0,0,13,0
35,Harish Kakani,Dallas Xforia Giants,9,9,33.5,267,10, 22/ 2,0,84,7.89,26.70,20.3,0,0,0,7,0
36,Jaskaran Singh Buttar,Baltimore Royals,5,5,17.3,140,10, 20/ 3,0,48,8.00,14.00,10.5,0,0,0,21,1
37,Zia Muhammad Shahzad,Atlanta Fire,8,8,25,227,10, 17/ 2,0,60,9.08,22.70,15,0,0,0,2,1
38,Raj Nannan,Morrisville Raptors,7,7,25,94,9, 8/ 2,2,85,3.76,10.44,16.7,0,0,0,0,0
