#,Player,Team,Mat,Inns,NO,Runs,4's,6's,50's,100's,HS,SR,Avg
25,Dominique Rikhi,New Jersey Stallions,10,10,0,200,22,4,2,0,71,129.03,20.00
26,Harkaran Gujral,Los Angeles Lashings,8,8,0,197,20,9,2,0,70,123.12,24.62
27,Abhinay Reddy Vanipally,San Diego Surf Riders,8,7,0,192,17,12,2,0,60,151.18,27.43
28,Supreet Madaan,New Jersey Stallions,10,10,2,191,18,4,0,0,36,100.53,23.88
29,Faraz Ali,Chicago Kingsmen,7,5,2,190,15,7,2,0,86,141.79,63.33
30,Jonathan Foo,The Philadelphians,8,8,3,188,15,11,0,0,41,138.24,37.60
31,Prasad Murthy,Atlanta Lightning,8,8,0,187,18,7,1,0,62,130.77,23.38
32,Nauman Anwar,St. Louis Americans,7,7,0,186,20,9,0,0,49,145.31,26.57
33,Shivam Sharma,Seattle Thunderbolts,10,9,3,179,6,16,0,0,49,159.82,29.83
34,Christopher Van Tull,The Philadelphians,8,8,1,179,21,7,1,0,74,102.87,25.57
35,Tagenarine Chanderpaul,Ft. Lauderdale Lions,6,6,2,178,12,7,2,0,77,117.88,44.50
36,Rameez Raja,Chicago Kingsmen,11,10,1,174,19,7,1,0,52,118.37,19.33
37,Awais Zia,Lone Star Athletics,6,6,1,171,19,4,1,0,69,125.74,34.20
38,Abheyender Singh,San Diego Surf Riders,8,8,4,170,12,11,1,0,53,170.00,42.50
39,Trevon Griffith,Morrisville Raptors,8,8,0,170,13,9,1,0,50,130.77,21.25
40,Shashwat Kohli,Seattle Thunderbolts,11,9,0,168,19,3,0,0,32,120.86,18.67
41,Aakarshit Gomel,Dallas Xforia Giants,10,10,1,167,15,4,0,0,38,107.74,18.56
42,Waqas Saleem,Michigan Cricket Stars,7,7,0,165,15,8,1,0,51,114.58,23.57
43,Syed Abdullah,New Jersey Somerset Cavaliers,9,8,0,165,9,11,0,0,34,94.83,20.62
44,Rehman Dar,Dallas Xforia Giants,9,7,3,163,14,4,2,0,64,112.41,40.75
45,John Campbell,Morrisville Raptors,8,8,0,161,12,9,0,0,40,136.44,20.12
